,date,low,high,open,close,volume
0,2024-06-14 18:00:00,65038.0,65505.35,65364.6,65485.38,734.25640282
1,2024-06-14 19:00:00,65251.0,65642.91,65485.38,65470.55,1075.41664235
2,2024-06-14 20:00:00,65429.2,65946.51,65470.77,65736.38,765.15127973
3,2024-06-14 21:00:00,65684.78,66573.0,65736.5,66159.83,802.17782226
4,2024-06-14 22:00:00,65834.51,66204.67,66158.32,65973.03,299.73592387
5,2024-06-14 23:00:00,65862.02,66049.28,65973.02,66004.39,151.53110692
6,2024-06-15 00:00:00,65937.2,66248.16,66004.36,66151.38,220.81514635
7,2024-06-15 01:00:00,66026.57,66256.21,66151.38,66031.72,90.12733931
8,2024-06-15 02:00:00,66001.07,66218.74,66031.71,66176.52,53.55527659
9,2024-06-15 03:00:00,66150.0,66243.3,66172.26,66226.53,91.06912816
10,2024-06-15 04:00:00,66158.68,66332.72,66226.52,66208.64,80.70196922
11,2024-06-15 05:00:00,66172.0,66355.44,66208.64,66188.1,69.24165848
12,2024-06-15 06:00:00,66077.62,66375.35,66188.11,66120.12,97.55806618
13,2024-06-15 07:00:00,66008.14,66155.19,66120.12,66028.38,67.97145852
14,2024-06-15 08:00:00,66028.05,66177.33,66028.37,66173.59,40.92333166
15,2024-06-15 09:00:00,66050.75,66236.91,66174.42,66179.54,57.6982349
16,2024-06-15 10:00:00,66144.25,66265.42,66175.65,66241.71,51.88384477
17,2024-06-15 11:00:00,66207.81,66304.24,66241.72,66268.51,55.62209708
18,2024-06-15 12:00:00,66171.91,66317.75,66268.52,66298.2,70.72684209
19,2024-06-15 13:00:00,66192.24,66302.38,66298.19,66267.08,51.71644636
20,2024-06-15 14:00:00,66121.48,66267.08,66267.08,66179.53,64.87357165
21,2024-06-15 15:00:00,66166.34,66428.57,66179.52,66277.36,110.72349839
22,2024-06-15 16:00:00,66140.98,66325.93,66277.36,66153.54,107.65126619
23,2024-06-15 17:00:00,66085.68,66268.51,66153.4,66203.99,70.20638543
24,2024-06-15 18:00:00,66088.29,66203.0,66203.0,66108.92,73.43306259
25,2024-06-15 19:00:00,66026.14,66178.25,66108.93,66119.67,59.09814485
26,2024-06-15 20:00:00,65800.86,66141.62,66116.5,66006.51,152.13906755
27,2024-06-15 21:00:00,65999.87,66117.93,66008.35,66084.55,81.48520396
28,2024-06-15 22:00:00,66011.52,66170.69,66084.55,66169.67,99.53092473
29,2024-06-15 23:00:00,66165.01,66254.68,66170.69,66192.0,85.39018979
30,2024-06-16 00:00:00,66116.5,66233.01,66192.0,66128.47,72.13504217
31,2024-06-16 01:00:00,66062.11,66181.91,66128.46,66135.63,63.1208076
32,2024-06-16 02:00:00,66060.94,66141.83,66135.64,66091.62,55.40521812
33,2024-06-16 03:00:00,66031.03,66124.06,66097.37,66102.07,51.66095407
34,2024-06-16 04:00:00,65999.0,66172.63,66101.08,66125.17,48.52979076
35,2024-06-16 05:00:00,66121.77,66220.6,66125.14,66220.6,43.8986622
36,2024-06-16 06:00:00,66126.82,66316.71,66220.59,66268.86,39.53036102
37,2024-06-16 07:00:00,66202.6,66315.85,66268.85,66219.07,27.9439785
38,2024-06-16 08:00:00,66186.63,66298.15,66218.43,66229.48,39.57560021
39,2024-06-16 09:00:00,66135.34,66373.87,66229.48,66354.83,39.97618148
40,2024-06-16 10:00:00,66312.97,66718.22,66358.6,66664.57,118.10300649
41,2024-06-16 11:00:00,66387.68,66688.69,66660.1,66445.63,42.02595353
42,2024-06-16 12:00:00,66424.21,66602.48,66445.62,66545.12,58.0540692
43,2024-06-16 13:00:00,66513.64,66727.8,66545.11,66727.8,220.56775618
44,2024-06-16 14:00:00,66462.04,66760.0,66727.48,66478.97,146.86719386
45,2024-06-16 15:00:00,66468.1,66685.06,66482.41,66660.62,78.795055
46,2024-06-16 16:00:00,66510.22,66706.08,66663.32,66552.98,91.75534021
